,name,count
0,autogpts.autogpt.agbenchmark_config.analyze_reports.process_test-dict.__getitem__,430
1,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItem.from_text-str.__ne__,344
2,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider._get_voice_engine-object.__init__,258
3,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItem.from_text-str.__add__,258
4,autogpts.autogpt.autogpt.logs.config.configure_logging-logging.Handler.setFormatter,258
5,autogpts.autogpt.autogpt.logs.config.configure_logging-logging.Handler.setLevel,258
6,autogpts.autogpt.autogpt.config.config.ConfigBuilder.build_config_from_env-str.__eq__,258
7,autogpts.autogpt.autogpt.commands.file_operations.file_operations_state-str.__eq__,258
8,autogpts.autogpt.autogpt.commands.file_operations.is_duplicate_operation-str.__eq__,257
12,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.fmt_paragraph-str.__eq__,237
13,autogpts.autogpt.autogpt.core.utils.json_schema.JSONSchema.to_dict-dict.items,237
14,autogpts.autogpt.tests.challenges.basic_abilities.test_write_file.test_write_file-list.__getitem__,234
15,autogpts.autogpt.autogpt.workspace.workspace.Workspace._sanitize_path-object.__str__,234
23,autogpts.autogpt.tests.unit.test_utils.test_extract_json_from_response_wrapped_in_code_block-str.__add__,172
24,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_update_cost_completion_model-float.__rmul__,172
25,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_getter_methods-float.__rmul__,172
26,autogpts.autogpt.data_ingestion.main-argparse._ActionsContainer.add_argument,172
27,autogpts.autogpt.autogpt.processing.text.summarize_text-list.__getitem__,172
28,autogpts.autogpt.autogpt.processing.text.split_text-int.__add__,172
29,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItemRelevance.most_relevant_chunk-list.__getitem__,172
30,autogpts.autogpt.autogpt.memory.vector.get_memory-BaseException.__init__,172
31,autogpts.autogpt.autogpt.logs.config.configure_logging-logging.StreamHandler.__init__,172
32,autogpts.autogpt.autogpt.llm.providers.openai.format_function_specs_as_typescript_ns-str.__add__,172
33,autogpts.autogpt.autogpt.core.workspace.simple.SimpleWorkspace._sanitize_path-object.__str__,172
34,autogpts.autogpt.autogpt.core.configuration.schema._get_user_config_fields-dict.items,172
35,autogpts.autogpt.autogpt.config.config.Config.get_azure_credentials-dict.get,172
36,autogpts.autogpt.autogpt.commands.file_operations_utils.read_textual_file-BaseException.__init__,172
37,autogpts.autogpt.autogpt.app.utils.markdown_to_ansi_style-str.__add__,172
38,autogpts.autogpt.autogpt.agents.planning_agent.PlanningAgent.construct_base_prompt-enumerate.__next__,172
