,name,count
0,dict.__getitem__,8807
1,dict.__setitem__,8687
2,BaseException.__init__,8570
3,io.TextIOWrapper.__enter__,8138
4,list.__getitem__,6830
5,str.__add__,6826
6,object.__init__,6034
7,str.join,5761
8,int.__eq__,5283
9,int.__add__,5251
10,object.__repr__,5163
11,list.__contains__,4612
12,list.append,4553
13,dict.items,4319
14,int.__sub__,4309
15,dict.get,4293
16,pathlib.Path.__new__,3937
17,str.__eq__,3859
18,typing.Mapping.__contains__,3647
19,slice.__init__,3413
20,pathlib.PurePath.__truediv__,3306
21,logging.Logger.debug,3087
22,enumerate.__next__,3072
23,enumerate.__init__,3053
24,str.split,3014
25,object.__eq__,2969
26,int.__gt__,2799
27,io.TextIOBase.read,2740
28,range.__init__,2695
29,io.TextIOBase.write,2635
30,str.__contains__,2435
31,logging.Logger.error,2218
32,list.__init__,2064
33,str.format,2007
34,tuple.__getitem__,1776
35,set.__init__,1698
36,str.replace,1595
37,str.strip,1523
38,str.startswith,1511
39,str.__ne__,1431
40,dict.__init__,1411
41,int.__mul__,1374
42,pathlib.Path.resolve,1310
43,datetime.datetime.now,1306
44,str.__getitem__,1298
45,str.__mod__,1245
46,sqlalchemy.orm.session.Session.__enter__,1238
47,sqlalchemy.orm.session.sessionmaker.__call__,1238
48,int.__new__,1195
49,list.extend,1194
50,int.__ge__,1164
51,str.encode,1164
52,pathlib.PurePath.parent,1160
53,unittest.case.TestCase.assertEqual,1159
54,BaseException.__str__,1153
55,logging.Logger.info,1147
56,int.__lt__,1145
57,pathlib.Path.exists,1122
58,unittest.mock._patch.__enter__,1081
59,pathlib.Path.cwd,1069
60,contextlib.AbstractContextManager.__enter__,1064
61,dict.keys,1034
62,sqlalchemy.orm.session.Session.query,1021
63,float.__sub__,978
64,int.__le__,949
65,tempfile._TemporaryFileWrapper.__enter__,927
66,contextlib.suppress.__init__,897
67,typing.Mapping.get,841
68,float.__rmul__,836
69,hashlib._Hash.hexdigest,826
70,tempfile._TemporaryFileWrapper.write,811
71,int.__truediv__,800
72,dict.values,796
73,typing.Generator.__next__,768
74,object.__str__,748
75,float.__truediv__,738
76,io.BufferedWriter.write,734
77,bs4.BeautifulSoup.__init__,733
78,io.BufferedWriter.__enter__,732
79,str.lower,730
80,str.__mul__,698
81,sqlalchemy.orm.query.Query.filter_by,675
82,tuple.__contains__,674
83,int.__ne__,671
84,bytes.decode,656
85,float.__add__,653
86,pathlib.Path.mkdir,646
87,io.IOBase.close,646
88,datetime.date.strftime,641
89,logging.Handler.setFormatter,626
90,str.endswith,614
91,benchmark.agbenchmark.agent_protocol_client.rest.RESTClientObject.request,588
92,requests.models.Response.json,586
93,list.__add__,585
94,pathlib.PurePath.relative_to,583
95,sqlalchemy.orm.query.Query.first,575
96,pathlib.Path.open,569
97,sqlalchemy.orm.session.Session.commit,568
98,float.__new__,548
99,numpy.ndarray.__getitem__,547
100,float.__gt__,535
101,list.__mul__,532
102,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,516
103,benchmark.agbenchmark.utils.challenge.Challenge.data,516
104,autogpts.autogpt.autogpt.agents.base.BaseAgent.llm,516
105,logging.StreamHandler.__init__,501
106,sqlalchemy.sql.operators.ColumnOperators.__eq__,500
107,pathlib.Path.is_dir,493
108,list.__iadd__,489
109,set.__contains__,484
110,pathlib.Path.is_file,479
111,subprocess.Popen.__init__,478
112,object.__class__,469
113,logging.Formatter.__init__,453
114,sqlalchemy.orm.session.Session.add,436
115,benchmark.agbenchmark.reports.ReportManager.ReportManager.save,430
116,sqlalchemy.orm.query.Query.all,426
117,autogpts.forge.forge.sdk.workspace.LocalWorkspace._resolve_path,425
118,logging.Logger.warn,421
119,logging.Logger.addHandler,410
120,io.BytesIO.__init__,402
121,sqlalchemy.orm.session.Session.refresh,397
122,pathlib.PurePath.is_relative_to,396
123,logging.Handler.setLevel,396
