,name,count
0,autogpts.autogpt.agbenchmark_config.analyze_reports.process_test|dict.__getitem__,435
1,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItem.from_text|str.__ne__,348
2,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider._get_voice_engine|object.__init__,261
3,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItem.from_text|str.__add__,261
4,autogpts.autogpt.autogpt.logs.config.configure_logging|logging.Handler.setFormatter,261
5,autogpts.autogpt.autogpt.logs.config.configure_logging|logging.Handler.setLevel,261
6,autogpts.autogpt.autogpt.config.config.ConfigBuilder.build_config_from_env|str.__eq__,261
7,autogpts.autogpt.autogpt.commands.file_operations.file_operations_state|str.__eq__,261
8,autogpts.autogpt.autogpt.commands.file_operations.is_duplicate_operation|str.__eq__,260
9,benchmark.agbenchmark.agent_protocol_client.exceptions.ApiException.__str__|str.format,255
10,benchmark.agbenchmark.agent_protocol_client.api_client.ApiClient.parameters_to_url_query|str.join,255
11,benchmark.agbenchmark.app.create_evaluation|str.__add__,240
12,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.fmt_paragraph|str.__eq__,240
13,autogpts.autogpt.autogpt.core.utils.json_schema.JSONSchema.to_dict|dict.items,240
14,benchmark.tests.test_is_circular.test_is_circular|dict.__getitem__,234
15,autogpts.autogpt.tests.challenges.basic_abilities.test_write_file.test_write_file|list.__getitem__,234
16,autogpts.autogpt.autogpt.workspace.workspace.Workspace._sanitize_path|object.__str__,234
17,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|dict.__getitem__,174
18,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items|AttributeError.__init__,174
19,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_failed|dict.__getitem__,174
20,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|dict.__setitem__,174
21,benchmark.agbenchmark.utils.dependencies.graphs.graph_interactive_network|dict.get,174
22,benchmark.agbenchmark.challenges.verticals.code.6_battleship.artifacts_out.battleship.Battleship.get_game_status|int.__eq__,174
23,autogpts.autogpt.tests.unit.test_utils.test_extract_json_from_response_wrapped_in_code_block|str.__add__,174
24,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_update_cost_completion_model|float.__rmul__,174
25,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_getter_methods|float.__rmul__,174
26,autogpts.autogpt.data_ingestion.main|argparse._ActionsContainer.add_argument,174
27,autogpts.autogpt.autogpt.processing.text.summarize_text|list.__getitem__,174
28,autogpts.autogpt.autogpt.processing.text.split_text|int.__add__,174
29,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItemRelevance.most_relevant_chunk|list.__getitem__,174
30,autogpts.autogpt.autogpt.memory.vector.get_memory|BaseException.__init__,174
31,autogpts.autogpt.autogpt.logs.config.configure_logging|logging.StreamHandler.__init__,174
32,autogpts.autogpt.autogpt.llm.providers.openai.format_function_specs_as_typescript_ns|str.__add__,174
33,autogpts.autogpt.autogpt.core.workspace.simple.SimpleWorkspace._sanitize_path|object.__str__,174
34,autogpts.autogpt.autogpt.core.configuration.schema._get_user_config_fields|dict.items,174
35,autogpts.autogpt.autogpt.config.config.Config.get_azure_credentials|dict.get,174
36,autogpts.autogpt.autogpt.commands.file_operations_utils.read_textual_file|BaseException.__init__,174
37,autogpts.autogpt.autogpt.app.utils.markdown_to_ansi_style|str.__add__,174
38,autogpts.autogpt.autogpt.agents.planning_agent.PlanningAgent.construct_base_prompt|enumerate.__next__,174
39,autogpts.autogpt.autogpt.agents.agent.execute_command|autogpts.autogpt.autogpt.agents.utils.exceptions.AgentException.__init__,174
40,benchmark.agbenchmark.generate_test.generate_tests|list.__contains__,172
41,autogpts.forge.forge.sdk.forge_log.ForgeLogger.__init__|logging.Formatter.__init__,172
42,autogpts.forge.forge.sdk.forge_log.ForgeLogger.__init__|logging.Handler.setFormatter,172
43,autogpts.forge.forge.sdk.agent_test.test_get_step|object.__init__,172
44,autogpts.forge.forge.sdk.agent_test.test_create_and_execute_step|object.__init__,172
45,autogpts.autogpt.autogpt.commands.web_selenium.read_webpage|str.__add__,172
46,cli.start|str.join,170
47,cli.start|subprocess.Popen.__init__,170
48,benchmark.agbenchmark.agent_protocol_client.exceptions.render_path|str.format,170
49,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.host|benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.get_host_from_settings,170
50,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.get_host_from_settings|str.__add__,170
51,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.get_host_from_settings|str.format,170
52,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.__deepcopy__|benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.logger_file,170
53,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.__deepcopy__|benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.debug,170
54,benchmark.agbenchmark.agent_protocol_client.api_client.ApiClient.parameters_to_url_query|object.__str__,170
55,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.upload_agent_task_artifacts_with_http_info|dict.__setitem__,170
56,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.list_agent_tasks_ids_with_http_info|dict.__setitem__,170
57,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.list_agent_task_steps_with_http_info|dict.__setitem__,170
58,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.list_agent_task_artifacts_with_http_info|dict.__setitem__,170
59,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.get_agent_task_with_http_info|dict.__setitem__,170
60,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.get_agent_task_step_with_http_info|dict.__setitem__,170
61,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.execute_agent_task_step_with_http_info|dict.__setitem__,170
62,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.download_agent_task_artifact_with_http_info|dict.__setitem__,170
63,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.create_agent_task_with_http_info|dict.__setitem__,170
64,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.fmt_paragraph|str.__add__,160
65,autogpts.autogpt.autogpt.memory.vector.utils.get_embedding|list.__getitem__,160
66,autogpts.autogpt.autogpt.core.utils.json_schema.JSONSchema.parse_properties|dict.items,160
67,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.register_result|BaseException.__init__,159
68,benchmark.tests.test_extract_subgraph.test_extract_subgraph_math_category|object.__eq__,158
69,benchmark.tests.test_extract_subgraph.test_dfs_category_math|object.__eq__,158
70,autogpts.autogpt.tests.integration.test_setup.test_generate_aiconfig_automatic_typical|int.__le__,156
71,autogpts.autogpt.tests.integration.test_setup.test_generate_aiconfig_automatic_default|int.__le__,156
72,autogpts.autogpt.tests.challenges.memory.test_memory_challenge_d.check_beliefs|dict.items,156
73,autogpts.autogpt.tests.challenges.memory.test_memory_challenge_d.check_beliefs|dict.get,156
74,autogpts.autogpt.tests.challenges.information_retrieval.test_information_retrieval_challenge_c.test_information_retrieval_challenge_c|list.__getitem__,156
75,autogpts.autogpt.autogpt.agents.prompt_strategies.one_shot.OneShotAgentPromptStrategy.compile_progress|str.__add__,138
76,autogpts.autogpt.autogpt.agents.features.context.ContextMixin.build_prompt|str.__add__,138
77,benchmark.agbenchmark.conftest.config|dict.__setitem__,88
78,benchmark.server.upload_file|list.append,87
79,benchmark.server.upload_file|pathlib.PurePath.parent,87
80,benchmark.server.upload_file|pathlib.Path.absolute,87
81,benchmark.server.upload_file|pathlib.PurePath.__truediv__,87
82,benchmark.server.upload_file|pathlib.Path.__new__,87
83,benchmark.server.get_file|io.BytesIO.__init__,87
84,benchmark.server.get_file|dict.__getitem__,87
85,benchmark.server.create_tasks|typing.MutableSequence.clear,87
86,benchmark.agbenchmark.utils.utils.replace_backslash|dict.items,87
87,benchmark.agbenchmark.utils.utils.get_test_path|object.__repr__,87
88,benchmark.agbenchmark.utils.utils.get_test_path|BaseException.__init__,87
89,benchmark.agbenchmark.utils.utils.get_test_path|pathlib.PurePath.parts,87
90,benchmark.agbenchmark.utils.utils.get_test_path|slice.__init__,87
91,benchmark.agbenchmark.utils.utils.get_test_path|tuple.index,87
92,benchmark.agbenchmark.utils.utils.get_test_path|pathlib.Path.__new__,87
93,benchmark.agbenchmark.utils.utils.get_test_path|tuple.__getitem__,87
94,benchmark.agbenchmark.utils.utils.get_highest_success_difficulty|dict.items,87
95,benchmark.agbenchmark.utils.utils.calculate_success_percentage|float.__mul__,87
96,benchmark.agbenchmark.utils.utils.calculate_success_percentage|int.__gt__,87
97,benchmark.agbenchmark.utils.utils.calculate_success_percentage|int.__truediv__,87
98,benchmark.agbenchmark.utils.utils.calculate_success_percentage|slice.__init__,87
99,benchmark.agbenchmark.utils.utils.calculate_success_percentage|int.__eq__,87
100,benchmark.agbenchmark.utils.utils.calculate_success_percentage|list.count,87
101,benchmark.agbenchmark.utils.utils.calculate_success_percentage|list.__getitem__,87
102,benchmark.agbenchmark.utils.utils.agent_eligibible_for_optional_categories|list.__contains__,87
103,benchmark.agbenchmark.utils.get_data_from_helicone.get_data_from_helicone|requests.models.Response.json,87
104,benchmark.agbenchmark.utils.get_data_from_helicone.get_data_from_helicone|typing.Mapping.get,87
105,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|str.split,87
106,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|list.__getitem__,87
107,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|str.rsplit,87
108,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|str.__contains__,87
109,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|int.__eq__,87
110,benchmark.agbenchmark.utils.dependencies.util.clean_nodeid|str.replace,87
111,benchmark.agbenchmark.utils.dependencies.pytest_unconfigure|list.pop,87
112,benchmark.agbenchmark.utils.dependencies.pytest_runtest_makereport|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.register_result,87
113,benchmark.agbenchmark.utils.dependencies.pytest_runtest_makereport|list.__getitem__,87
114,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_failed,87
115,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_missing,87
116,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|str.join,87
117,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|list.__getitem__,87
118,benchmark.agbenchmark.utils.dependencies.pytest_configure|list.append,87
119,benchmark.agbenchmark.utils.dependencies.pytest_configure|dict.__setitem__,87
120,benchmark.agbenchmark.utils.dependencies.pytest_configure|dict.keys,87
121,benchmark.agbenchmark.utils.dependencies.pytest_configure|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.__init__,87
122,benchmark.agbenchmark.utils.dependencies.pytest_configure|list.__init__,87
123,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items,87
124,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,87
125,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_processed_dependencies,87
126,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_name_map,87
127,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|slice.__init__,87
128,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|list.__getitem__,87
129,benchmark.agbenchmark.utils.dependencies.pytest_addoption|dict.keys,87
130,benchmark.agbenchmark.utils.dependencies.pytest_addoption|list.__iadd__,87
131,benchmark.agbenchmark.utils.dependencies.pytest_addoption|list.__contains__,87
132,benchmark.agbenchmark.utils.dependencies.main.TestResult.success|list.__contains__,87
133,benchmark.agbenchmark.utils.dependencies.main.TestResult.success|dict.get,87
134,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|dict.__setitem__,87
135,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|BaseException.__init__,87
136,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|list.__contains__,87
137,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|AttributeError.__init__,87
138,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|typing.Mapping.__contains__,87
139,benchmark.agbenchmark.utils.dependencies.main.TestDependencies.__init__|set.__init__,87
140,benchmark.agbenchmark.utils.dependencies.main.TestDependencies.__init__|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.name_to_nodeids,87
141,benchmark.agbenchmark.utils.dependencies.main.TestDependencies.__init__|typing.Mapping.__contains__,87
142,benchmark.agbenchmark.utils.dependencies.main.TestDependencies.__init__|dict.__getitem__,87
143,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|dict.__setitem__,87
144,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,87
145,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|io.TextIOWrapper.__enter__,87
146,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|str.lower,87
147,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|str.__eq__,87
148,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|dict.__getitem__,87
149,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.results|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,87
150,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.register_result|dict.__getitem__,87
151,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.register_result|benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result,87
152,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_processed_dependencies|list.append,87
153,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_processed_dependencies|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.dependencies,87
154,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_processed_dependencies|dict.items,87
155,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_name_map|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.name_to_nodeids,87
156,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_name_map|dict.items,87
157,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_name_map|int.__eq__,87
158,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.nodeid_to_item|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,87
159,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.name_to_nodeids|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,87
160,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_missing|dict.__getitem__,87
161,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_failed|benchmark.agbenchmark.utils.dependencies.main.TestResult.success,87
162,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_failed|list.append,87
163,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.dependencies|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,87
164,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|dict.__getitem__,87
165,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|dict.values,87
166,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|int.__mod__,87
167,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|range.__init__,87
168,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|float.__truediv__,87
169,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|dict.items,87
170,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|int.__add__,87
171,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|float.__sub__,87
172,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|float.__add__,87
173,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|float.__rmul__,87
174,benchmark.agbenchmark.utils.dependencies.graphs.rgb_to_hex|int.__new__,87
175,benchmark.agbenchmark.utils.dependencies.graphs.rgb_to_hex|float.__mul__,87
176,benchmark.agbenchmark.utils.dependencies.graphs.rgb_to_hex|tuple.__getitem__,87
177,benchmark.agbenchmark.utils.dependencies.graphs.rgb_to_hex|str.format,87
178,benchmark.agbenchmark.utils.dependencies.graphs.graph_spring_layout|float.__mul__,87
179,benchmark.agbenchmark.utils.dependencies.graphs.graph_spring_layout|int.__gt__,87
180,benchmark.agbenchmark.utils.dependencies.graphs.graph_spring_layout|list.__getitem__,87
181,benchmark.agbenchmark.utils.dependencies.graphs.graph_spring_layout|float.__radd__,87
182,benchmark.agbenchmark.utils.dependencies.graphs.graph_spring_layout|float.__truediv__,87
183,benchmark.agbenchmark.utils.dependencies.graphs.graph_spring_layout|int.__new__,87
184,benchmark.agbenchmark.utils.dependencies.graphs.graph_spring_layout|float.__rtruediv__,87
185,benchmark.agbenchmark.utils.dependencies.graphs.graph_interactive_network|object.__repr__,87
186,benchmark.agbenchmark.utils.dependencies.graphs.graph_interactive_network|dict.items,87
187,benchmark.agbenchmark.utils.dependencies.graphs.graph_interactive_network|slice.__init__,87
188,benchmark.agbenchmark.utils.dependencies.graphs.graph_interactive_network|pathlib.Path.resolve,87
189,benchmark.agbenchmark.utils.dependencies.graphs.graph_interactive_network|pathlib.Path.__new__,87
190,benchmark.agbenchmark.utils.dependencies.graphs.get_category_colors|enumerate.__next__,87
191,benchmark.agbenchmark.utils.dependencies.graphs.get_category_colors|set.__init__,87
192,benchmark.agbenchmark.utils.dependencies.graphs.get_category_colors|enumerate.__init__,87
193,benchmark.agbenchmark.utils.dependencies.graphs.get_category_colors|dict.values,87
194,benchmark.agbenchmark.utils.dependencies.graphs.get_category_colors|slice.__init__,87
195,benchmark.agbenchmark.utils.dependencies.graphs.get_category_colors|tuple.__getitem__,87
196,benchmark.agbenchmark.utils.dependencies.graphs.curved_edges|matplotlib.axes._base._AxesBase.add_patch,87
197,benchmark.agbenchmark.utils.dependencies.graphs.curved_edges|dict.__init__,87
198,benchmark.agbenchmark.utils.dependencies.graphs.curved_edges|matplotlib.axes._axes.Axes.annotate,87
199,benchmark.agbenchmark.utils.dependencies.graphs.curved_edges|numpy.ndarray.__getitem__,87
200,benchmark.agbenchmark.utils.dependencies.graphs.curved_edges|list.__getitem__,87
201,benchmark.agbenchmark.utils.dependencies.graphs.curved_edges|matplotlib.patches.FancyArrowPatch.__init__,87
202,benchmark.agbenchmark.utils.dependencies.graphs.curved_edges|dict.__getitem__,87
203,benchmark.agbenchmark.utils.dependencies.graphs.bezier_curve|list.append,87
204,benchmark.agbenchmark.utils.dependencies.graphs.bezier_curve|numpy.ndarray.__rmul__,87
205,benchmark.agbenchmark.utils.dependencies.graphs.bezier_curve|numpy.ndarray.__getitem__,87
206,benchmark.agbenchmark.utils.dependencies.graphs.bezier_curve|int.__sub__,87
207,benchmark.agbenchmark.utils.dependencies.graphs.bezier_curve|numpy.ndarray.__add__,87
208,benchmark.agbenchmark.utils.dependencies._get_ini_or_option|list.__contains__,87
209,benchmark.agbenchmark.utils.dependencies._get_ini_or_option|str.join,87
210,benchmark.agbenchmark.utils.dependencies._get_ini_or_option|BaseException.__init__,87
211,benchmark.agbenchmark.utils.dependencies._add_ini_and_option|str.replace,87
212,benchmark.agbenchmark.utils.dependencies._add_ini_and_option|str.__add__,87
213,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|datetime.date.strftime,87
214,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|list.index,87
215,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|str.strip,87
216,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|pathlib.Path.mkdir,87
217,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|list.__getitem__,87
218,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|dict.items,87
219,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|int.__add__,87
220,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|list.__contains__,87
221,benchmark.agbenchmark.utils.data_types.calculate_info_test_path|pathlib.PurePath.__truediv__,87
222,benchmark.agbenchmark.utils.data_types.Info.difficulty_to_enum|str.lower,87
223,benchmark.agbenchmark.utils.data_types.Info.difficulty_to_enum|enum.Enum.__new__,87
224,benchmark.agbenchmark.utils.data_types.Info.difficulty_to_enum|BaseException.__init__,87
225,benchmark.agbenchmark.utils.data_types.Eval.validate_template|BaseException.__init__,87
