,name,count,func
0,analysis,508,BaseException.__init__
1,analysis,490,unittest.case.TestCase.assertEqual
2,analysis,393,pathlib.Path.__new__
3,analysis,369,dict.__getitem__
4,SuperAGI,315,object.__init__
5,analysis,275,object.__repr__
6,analysis,237,str.__add__
7,analysis,230,str.__mod__
8,analysis,210,list.append
9,analysis,197,pathlib.PurePath.__truediv__
10,analysis,180,list.__getitem__
11,analysis,180,dict.__setitem__
12,SuperAGI,171,sqlalchemy.sql.operators.ColumnOperators.__eq__
13,analysis,163,logging.Logger.info
14,analysis,163,contextlib.AbstractContextManager.__enter__
15,analysis,161,int.__eq__
16,TheAgency,159,object.__init__
17,analysis,153,int.__gt__
18,analysis,142,object.__init__
19,analysis,138,set.__init__
20,analysis,136,str.__eq__
21,analysis,128,str.join
22,analysis,127,str.format
23,analysis,123,typing.Mapping.__contains__
24,analysis,122,list.__init__
25,TheAgency,122,BaseException.__init__
26,lollms,121,io.TextIOWrapper.__enter__
27,TheAgency,120,logging.Logger.error
28,analysis,117,unittest.case._AssertRaisesContext.__enter__
29,analysis,114,io.TextIOWrapper.__enter__
30,analysis,113,int.__add__
31,TheAgency,113,dict.__setitem__
32,TheAgency,113,list.__getitem__
33,analysis,110,tempfile.TemporaryDirectory.__init__
34,analysis,110,tempfile.TemporaryDirectory.__enter__
35,analysis,105,object.__eq__
36,Tonic-AI,105,BaseException.__init__
37,analysis,103,unittest.case.TestCase.assertRaises
38,MasonBoomPersonalAssistant,103,object.__init__
39,MasonBoom,103,object.__init__
40,analysis,102,dict.get
41,TheAgency,102,dict.__getitem__
42,MasonBoomPersonalAssistant,102,dict.__setitem__
43,MasonBoom,102,dict.__setitem__
44,TheAgency,101,logging.Logger.debug
45,aorwall,101,dict.__getitem__
46,aorwall,101,BaseException.__init__
47,CryptoFewka,100,dict.__setitem__
48,markcam1,100,dict.__setitem__
49,elmcrest,99,BaseException.__init__
50,ghjk0498,99,BaseException.__init__
51,taylor-ennen,98,dict.__setitem__
52,hamicek,98,dict.__setitem__
53,AutoGPT-trading,98,dict.__setitem__
54,fpingham,98,dict.__setitem__
55,jm16,98,dict.__setitem__
56,elder-plinius,98,dict.__setitem__
57,a-cires,98,dict.__setitem__
58,Asimov,98,dict.__setitem__
59,enachb,98,dict.__setitem__
60,datasci888,98,dict.__setitem__
61,MasonBoomPersonalAssistant,98,dict.__getitem__
62,aorwall,98,dict.__setitem__
63,elmcrest,98,dict.__setitem__
64,MasonBoom,98,dict.__getitem__
65,georgehaws,98,dict.__setitem__
66,gordonwilliamsburg,98,dict.__setitem__
67,ghjk0498,98,dict.__setitem__
68,CryptoFewka,97,dict.__getitem__
69,markcam1,97,dict.__getitem__
70,MasonBoomPersonalAssistant,97,list.__getitem__
71,MasonBoomPersonalAssistant,97,BaseException.__init__
72,MasonBoom,97,list.__getitem__
73,MasonBoom,97,BaseException.__init__
74,jmikedupont2,97,dict.__setitem__
75,hooking-software,96,dict.__setitem__
76,Iyfo,96,dict.__setitem__
77,clusterfudge,96,dict.__setitem__
78,vikyw89,96,dict.__setitem__
79,ido777,96,dict.__setitem__
80,Jarvis,96,dict.__setitem__
81,alex-dna-tech,96,dict.__setitem__
82,0713e,96,dict.__setitem__
83,Calebslc,96,dict.__setitem__
84,lebsral,96,dict.__setitem__
85,jankomisarczyk,96,dict.__setitem__
86,kwassali,96,dict.__setitem__
87,aaron13100,96,dict.__setitem__
88,lollms,95,pathlib.Path.__new__
89,Tonic-AI,95,dict.__setitem__
90,hamicek,95,dict.__getitem__
91,AutoGPT-trading,95,dict.__getitem__
92,banuitt,95,dict.__setitem__
93,jm16,95,dict.__getitem__
94,elder-plinius,95,dict.__getitem__
95,a-cires,95,dict.__getitem__
96,Asimov,95,dict.__getitem__
97,enachb,95,dict.__getitem__
98,datasci888,95,dict.__getitem__
99,elmcrest,95,dict.__getitem__
100,georgehaws,95,dict.__getitem__
101,gordonwilliamsburg,95,dict.__getitem__
102,ghjk0498,95,dict.__getitem__
103,Gasiorrr,94,dict.__setitem__
104,JGuiraud,94,dict.__setitem__
105,isayahc,94,dict.__setitem__
106,dtakahas,94,dict.__setitem__
107,taylor-ennen,94,dict.__getitem__
108,AcrearHub,94,BaseException.__init__
109,bary12,94,BaseException.__init__
110,Metameg,94,BaseException.__init__
111,HawkClaws,94,dict.__setitem__
112,CollectionOfAtoms,94,dict.__setitem__
113,Iyfo,94,dict.__getitem__
114,micahnz,94,dict.__setitem__
115,ScottGPT,94,dict.__setitem__
116,kabbo25,94,dict.__setitem__
117,HMDCrew,94,dict.__setitem__
118,mahmudremal,94,dict.__setitem__
119,ido777,94,dict.__getitem__
120,greyun,94,BaseException.__init__
121,harishafeez1,94,dict.__setitem__
122,chasegalloway,94,dict.__setitem__
123,scottmas,94,dict.__setitem__
124,ahmedmiamer,94,dict.__setitem__
125,yodatech1988,94,dict.__setitem__
126,eugenxs,94,dict.__setitem__
127,aplomb2,94,dict.__setitem__
128,alex-dna-tech,94,dict.__getitem__
129,neitheroption,94,dict.__setitem__
130,jackcusick95,94,dict.__setitem__
131,osGPT,94,dict.__setitem__
132,DedicatedDev,94,dict.__setitem__
133,DedicatedDev,94,dict.__getitem__
134,martinpeng,94,BaseException.__init__
135,FritzGPT,94,dict.__setitem__
136,0713e,94,dict.__getitem__
137,Swarms-Of-Sparta,94,dict.__setitem__
138,mljar-agent,94,dict.__setitem__
139,Calebslc,94,dict.__getitem__
140,hackgoofer,94,dict.__setitem__
141,ishangirdhar,94,BaseException.__init__
142,Crock-nic,94,dict.__setitem__
143,Freek-ZIGZAG,94,dict.__setitem__
144,NaixingWang,94,dict.__setitem__
145,JadeCong,94,dict.__setitem__
146,darkanubis0100,94,dict.__setitem__
147,blazzbyte,94,dict.__setitem__
148,jackyluo-learning,94,dict.__setitem__
149,kuraldijital,94,dict.__setitem__
150,AutoGPTOfficial,94,dict.__setitem__
151,kwassali,94,dict.__getitem__
152,joslangarica,94,dict.__setitem__
153,Agora-X,94,dict.__setitem__
154,merwanehamadi,94,dict.__setitem__
155,aaron13100,94,dict.__getitem__
156,pplonski,94,dict.__setitem__
157,Matlan1,94,dict.__setitem__
158,b2ktortechnik,94,BaseException.__init__
159,Bentlybro,94,dict.__setitem__
160,leehua03f3,94,dict.__setitem__
161,Auto-GPT,93,dict.__setitem__
162,Gasiorrr,92,dict.__getitem__
163,JGuiraud,92,dict.__getitem__
164,isayahc,92,dict.__getitem__
165,dtakahas,92,dict.__getitem__
166,taylor-ennen,92,BaseException.__init__
167,CollectionOfAtoms,92,dict.__getitem__
168,analysis,92,int.__new__
169,analysis,92,beniget.tests.test_chains.TestDefUseChains.checkChains
170,micahnz,92,dict.__getitem__
171,ScottGPT,92,dict.__getitem__
172,kabbo25,92,dict.__getitem__
173,fpingham,92,dict.__getitem__
174,fpingham,92,BaseException.__init__
175,mahmudremal,92,dict.__getitem__
176,harishafeez1,92,dict.__getitem__
177,chasegalloway,92,dict.__getitem__
178,scottmas,92,dict.__getitem__
179,ahmedmiamer,92,dict.__getitem__
180,TheAgency,92,str.__add__
181,elder-plinius,92,BaseException.__init__
182,yodatech1988,92,dict.__getitem__
183,eugenxs,92,dict.__getitem__
184,aplomb2,92,dict.__getitem__
185,neitheroption,92,dict.__getitem__
186,jackcusick95,92,dict.__getitem__
187,osGPT,92,dict.__getitem__
188,Swarms-Of-Sparta,92,dict.__getitem__
189,mljar-agent,92,dict.__getitem__
190,Freek-ZIGZAG,92,dict.__getitem__
191,NaixingWang,92,dict.__getitem__
192,JadeCong,92,dict.__getitem__
193,blazzbyte,92,dict.__getitem__
194,jackyluo-learning,92,dict.__getitem__
195,AutoGPTOfficial,92,dict.__getitem__
196,joslangarica,92,dict.__getitem__
197,Agora-X,92,dict.__getitem__
198,merwanehamadi,92,dict.__getitem__
199,pplonski,92,dict.__getitem__
200,Matlan1,92,dict.__getitem__
201,Bentlybro,92,dict.__getitem__
202,leehua03f3,92,dict.__getitem__
203,AcrearHub,91,dict.__setitem__
204,bary12,91,dict.__setitem__
205,Metameg,91,dict.__setitem__
206,HawkClaws,91,dict.__getitem__
207,analysis,91,pathlib.Path.resolve
208,clusterfudge,91,dict.__getitem__
209,Tonic-AI,91,dict.__getitem__
210,HMDCrew,91,dict.__getitem__
211,hamicek,91,BaseException.__init__
212,AutoGPT-trading,91,BaseException.__init__
213,greyun,91,dict.__setitem__
214,jm16,91,BaseException.__init__
215,elder-plinius,91,io.TextIOWrapper.__enter__
216,a-cires,91,BaseException.__init__
217,Asimov,91,BaseException.__init__
218,enachb,91,BaseException.__init__
219,datasci888,91,BaseException.__init__
220,martinpeng,91,dict.__setitem__
221,FritzGPT,91,dict.__getitem__
222,hackgoofer,91,dict.__getitem__
223,ishangirdhar,91,dict.__setitem__
224,Crock-nic,91,dict.__getitem__
225,darkanubis0100,91,dict.__getitem__
226,kuraldijital,91,dict.__getitem__
227,georgehaws,91,BaseException.__init__
228,gordonwilliamsburg,91,BaseException.__init__
229,Auto-GPT,91,dict.__getitem__
230,b2ktortechnik,91,dict.__setitem__
231,lollms,90,str.__add__
232,CryptoFewka,90,BaseException.__init__
233,markcam1,90,BaseException.__init__
234,SuperAGI,90,unittest.mock.MagicMixin.__init__
235,Gasiorrr,89,BaseException.__init__
236,JGuiraud,89,BaseException.__init__
237,isayahc,89,BaseException.__init__
238,dtakahas,89,BaseException.__init__
239,hooking-software,89,dict.__getitem__
240,ScottGPT,89,BaseException.__init__
241,vikyw89,89,io.TextIOWrapper.__enter__
242,mahmudremal,89,BaseException.__init__
243,Jarvis,89,io.TextIOWrapper.__enter__
244,chasegalloway,89,BaseException.__init__
245,scottmas,89,BaseException.__init__
246,neitheroption,89,BaseException.__init__
247,jackcusick95,89,BaseException.__init__
248,osGPT,89,BaseException.__init__
249,jmikedupont2,89,io.TextIOWrapper.__enter__
250,jmikedupont2,89,dict.__getitem__
251,Freek-ZIGZAG,89,BaseException.__init__
252,lebsral,89,io.TextIOWrapper.__enter__
253,JadeCong,89,BaseException.__init__
254,jankomisarczyk,89,io.TextIOWrapper.__enter__
255,blazzbyte,89,BaseException.__init__
256,jackyluo-learning,89,BaseException.__init__
257,AutoGPTOfficial,89,BaseException.__init__
258,Matlan1,89,BaseException.__init__
259,Gasiorrr,88,io.TextIOWrapper.__enter__
260,JGuiraud,88,io.TextIOWrapper.__enter__
261,isayahc,88,io.TextIOWrapper.__enter__
262,dtakahas,88,io.TextIOWrapper.__enter__
263,hooking-software,88,io.TextIOWrapper.__enter__
264,taylor-ennen,88,io.TextIOWrapper.__enter__
265,AcrearHub,88,dict.__getitem__
266,bary12,88,dict.__getitem__
267,Metameg,88,dict.__getitem__
268,HawkClaws,88,io.TextIOWrapper.__enter__
269,CollectionOfAtoms,88,io.TextIOWrapper.__enter__
270,babyagi,88,str.__add__
271,Iyfo,88,io.TextIOWrapper.__enter__
272,analysis,88,dict.items
273,micahnz,88,io.TextIOWrapper.__enter__
274,clusterfudge,88,io.TextIOWrapper.__enter__
275,ScottGPT,88,io.TextIOWrapper.__enter__
276,CryptoFewka,88,io.TextIOWrapper.__enter__
277,kabbo25,88,io.TextIOWrapper.__enter__
278,HMDCrew,88,io.TextIOWrapper.__enter__
279,hamicek,88,io.TextIOWrapper.__enter__
280,AutoGPT-trading,88,io.TextIOWrapper.__enter__
281,fpingham,88,io.TextIOWrapper.__enter__
282,vikyw89,88,dict.__getitem__
283,mahmudremal,88,io.TextIOWrapper.__enter__
284,ido777,88,io.TextIOWrapper.__enter__
285,greyun,88,dict.__getitem__
286,harishafeez1,88,io.TextIOWrapper.__enter__
287,Jarvis,88,dict.__getitem__
288,banuitt,88,dict.__getitem__
289,chasegalloway,88,io.TextIOWrapper.__enter__
290,scottmas,88,io.TextIOWrapper.__enter__
291,jm16,88,io.TextIOWrapper.__enter__
292,ahmedmiamer,88,io.TextIOWrapper.__enter__
293,a-cires,88,io.TextIOWrapper.__enter__
294,yodatech1988,88,io.TextIOWrapper.__enter__
295,eugenxs,88,io.TextIOWrapper.__enter__
296,aplomb2,88,io.TextIOWrapper.__enter__
297,alex-dna-tech,88,io.TextIOWrapper.__enter__
298,neitheroption,88,io.TextIOWrapper.__enter__
299,Asimov,88,io.TextIOWrapper.__enter__
300,enachb,88,io.TextIOWrapper.__enter__
301,markcam1,88,io.TextIOWrapper.__enter__
302,jackcusick95,88,io.TextIOWrapper.__enter__
303,datasci888,88,io.TextIOWrapper.__enter__
304,osGPT,88,io.TextIOWrapper.__enter__
305,DedicatedDev,88,io.TextIOWrapper.__enter__
306,martinpeng,88,dict.__getitem__
307,FritzGPT,88,io.TextIOWrapper.__enter__
308,MasonBoomPersonalAssistant,88,io.TextIOWrapper.__enter__
309,aorwall,88,io.TextIOWrapper.__enter__
310,0713e,88,io.TextIOWrapper.__enter__
311,Swarms-Of-Sparta,88,io.TextIOWrapper.__enter__
312,mljar-agent,88,io.TextIOWrapper.__enter__
313,elmcrest,88,io.TextIOWrapper.__enter__
314,Calebslc,88,io.TextIOWrapper.__enter__
315,MasonBoom,88,io.TextIOWrapper.__enter__
316,hackgoofer,88,io.TextIOWrapper.__enter__
317,ishangirdhar,88,dict.__getitem__
318,Crock-nic,88,io.TextIOWrapper.__enter__
319,Freek-ZIGZAG,88,io.TextIOWrapper.__enter__
320,NaixingWang,88,io.TextIOWrapper.__enter__
321,lebsral,88,dict.__getitem__
322,JadeCong,88,io.TextIOWrapper.__enter__
323,darkanubis0100,88,io.TextIOWrapper.__enter__
324,jankomisarczyk,88,dict.__getitem__
325,blazzbyte,88,io.TextIOWrapper.__enter__
326,jackyluo-learning,88,io.TextIOWrapper.__enter__
327,kuraldijital,88,io.TextIOWrapper.__enter__
328,AutoGPTOfficial,88,io.TextIOWrapper.__enter__
329,georgehaws,88,io.TextIOWrapper.__enter__
330,kwassali,88,io.TextIOWrapper.__enter__
331,joslangarica,88,io.TextIOWrapper.__enter__
332,gordonwilliamsburg,88,io.TextIOWrapper.__enter__
333,Agora-X,88,io.TextIOWrapper.__enter__
334,merwanehamadi,88,io.TextIOWrapper.__enter__
335,ghjk0498,88,io.TextIOWrapper.__enter__
336,aaron13100,88,io.TextIOWrapper.__enter__
337,pplonski,88,io.TextIOWrapper.__enter__
338,Matlan1,88,io.TextIOWrapper.__enter__
339,b2ktortechnik,88,dict.__getitem__
340,Bentlybro,88,io.TextIOWrapper.__enter__
341,leehua03f3,88,io.TextIOWrapper.__enter__
342,SuperAGI,87,str.__add__
343,aorwall,87,list.__getitem__
344,HawkClaws,86,BaseException.__init__
345,analysis,86,sapp.sapp.db.DB.make_session
346,HMDCrew,86,BaseException.__init__
