,name,count
6823,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|logging.Formatter.__init__,2
6824,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|logging.Handler.setFormatter,2
6825,autogpts.PolyGPT-alpha.forge.sdk.agent_test.test_get_step|object.__init__,2
6826,autogpts.PolyGPT-alpha.forge.sdk.agent_test.test_create_and_execute_step|object.__init__,2
6827,autogpts.PolyGPT-alpha.forge.sdk.abilities.web.web_selenium.open_page_in_browser|str.__eq__,2
28479,autogpts.PolyGPT-alpha.llms_config.LlmConfiguration._find_and_load_config|BaseException.__init__,1
28480,autogpts.PolyGPT-alpha.llms_config.LlmConfiguration._find_and_load_config|str.__eq__,1
28481,autogpts.PolyGPT-alpha.llms_config.LlmConfiguration.__new__|object.__new__,1
28482,autogpts.PolyGPT-alpha.llms_config.LlmConfiguration.__init__|autogpts.PolyGPT-alpha.llms_config.LlmConfiguration._find_and_load_config,1
28483,autogpts.PolyGPT-alpha.forge.tools.search.search|bs4.BeautifulSoup.__init__,1
28484,autogpts.PolyGPT-alpha.forge.tools.search.search|list.append,1
28485,autogpts.PolyGPT-alpha.forge.tools.search.search|bs4.element.Tag.find_all,1
28486,autogpts.PolyGPT-alpha.forge.tools.search.search|requests.models.Response.text,1
28487,autogpts.PolyGPT-alpha.forge.tools.search.search|str.__add__,1
28488,autogpts.PolyGPT-alpha.forge.tools.scrape_website.scrape_website|requests.models.Response.content,1
28489,autogpts.PolyGPT-alpha.forge.tools.scrape_website.scrape_website|bs4.BeautifulSoup.__init__,1
28490,autogpts.PolyGPT-alpha.forge.tools.scrape_website.scrape_website|int.__gt__,1
28491,autogpts.PolyGPT-alpha.forge.tools.scrape_website.scrape_website|bs4.element.PageElement.get_text,1
28492,autogpts.PolyGPT-alpha.forge.tools.scrape_website.scrape_website|int.__eq__,1
28493,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_read_write_delete_exists|bytes.__eq__,1
28494,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_read_write_delete_exists|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.read,1
28495,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_read_write_delete_exists|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.write,1
28496,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_read_write_delete_exists|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.delete,1
28497,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_read_write_delete_exists|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.__init__,1
28498,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_read_write_delete_exists|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.exists,1
28499,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_list|object.__eq__,1
28500,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_list|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.write,1
28501,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_list|set.__init__,1
28502,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_list|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.list,1
28503,autogpts.PolyGPT-alpha.forge.sdk.workspace_test.test_local_list|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.__init__,1
28504,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.write|io.BufferedWriter.write,1
28505,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.write|io.BufferedWriter.__enter__,1
28506,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.write|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path,1
28507,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.read|io.BufferedReader.__enter__,1
28508,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.read|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path,1
28509,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.read|io.BufferedIOBase.read,1
28510,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.list|typing.Generator.__next__,1
28511,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.list|pathlib.PurePath.relative_to,1
28512,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.list|pathlib.Path.is_dir,1
28513,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.list|object.__repr__,1
28514,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.list|pathlib.Path.iterdir,1
28515,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.list|pathlib.Path.exists,1
28516,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.list|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path,1
28517,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.exists|pathlib.Path.exists,1
28518,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.exists|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path,1
28519,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.delete|autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path,1
28520,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path|str.startswith,1
28521,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path|BaseException.__init__,1
28522,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path|str.__getitem__,1
28523,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path|slice.__init__,1
28524,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace._resolve_path|object.__repr__,1
28525,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.__init__|pathlib.Path.resolve,1
28526,autogpts.PolyGPT-alpha.forge.sdk.workspace.LocalWorkspace.__init__|pathlib.Path.__new__,1
28527,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.load_prompt|logging.Logger.error,1
28528,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.load_prompt|logging.Logger.debug,1
28529,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.get_closest_match|logging.Logger.error,1
28530,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.get_closest_match|list.__getitem__,1
28531,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.get_closest_match|logging.Logger.info,1
28532,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.get_closest_match|str.join,1
28533,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.get_closest_match|logging.Logger.debug,1
28534,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.__init__|logging.Logger.error,1
28535,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.__init__|jinja2.loaders.FileSystemLoader.__init__,1
28536,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.__init__|jinja2.environment.Environment.__init__,1
28537,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.__init__|str.__contains__,1
28538,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.__init__|autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.get_closest_match,1
28539,autogpts.PolyGPT-alpha.forge.sdk.prompting.PromptEngine.__init__|logging.Logger.debug,1
28540,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_update|hashlib._Hash.hexdigest,1
28541,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_update|str.__getitem__,1
28542,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_update|slice.__init__,1
28543,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_update|str.encode,1
28544,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_query|int.__eq__,1
28545,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_delete|hashlib._Hash.hexdigest,1
28546,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_delete|str.__getitem__,1
28547,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_delete|slice.__init__,1
28548,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_delete|str.encode,1
28549,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_add|hashlib._Hash.hexdigest,1
28550,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_add|str.__getitem__,1
28551,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_add|slice.__init__,1
28552,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore_test.test_add|str.encode,1
28553,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.update_task_memory|autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.update,1
28554,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.query_task_memory|autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.query,1
28555,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.get_task_memory|autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.get,1
28556,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.delete_task_memory|autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.delete,1
28557,autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.add_task_memory|autogpts.PolyGPT-alpha.forge.sdk.memory.memstore.MemStore.add,1
28558,autogpts.PolyGPT-alpha.forge.sdk.memory.chroma_memstore.ChromaMemStore.query|dict.__setitem__,1
28559,autogpts.PolyGPT-alpha.forge.sdk.memory.chroma_memstore.ChromaMemStore.get|dict.__setitem__,1
28560,autogpts.PolyGPT-alpha.forge.sdk.memory.chroma_memstore.ChromaMemStore.add|hashlib._Hash.hexdigest,1
28561,autogpts.PolyGPT-alpha.forge.sdk.memory.chroma_memstore.ChromaMemStore.add|str.__getitem__,1
28562,autogpts.PolyGPT-alpha.forge.sdk.memory.chroma_memstore.ChromaMemStore.add|slice.__init__,1
28563,autogpts.PolyGPT-alpha.forge.sdk.memory.chroma_memstore.ChromaMemStore.add|str.encode,1
28564,autogpts.PolyGPT-alpha.forge.sdk.llm.transcribe_audio|logging.Logger.error,1
28565,autogpts.PolyGPT-alpha.forge.sdk.llm.create_embedding_request|logging.Logger.error,1
28566,autogpts.PolyGPT-alpha.forge.sdk.llm.chat_completion_request|logging.Logger.exception,1
28567,autogpts.PolyGPT-alpha.forge.sdk.llm.chat_completion_request|logging.Logger.error,1
28568,autogpts.PolyGPT-alpha.forge.sdk.llm.chat_completion_request|dict.__setitem__,1
28569,autogpts.PolyGPT-alpha.forge.sdk.forge_log.formatter_message|str.replace,1
28570,autogpts.PolyGPT-alpha.forge.sdk.forge_log.format_word|str.replace,1
28571,autogpts.PolyGPT-alpha.forge.sdk.forge_log.format_word|str.__add__,1
28572,autogpts.PolyGPT-alpha.forge.sdk.forge_log.QueueLogger.__init__|logging.handlers.QueueHandler.__init__,1
28573,autogpts.PolyGPT-alpha.forge.sdk.forge_log.QueueLogger.__init__|logging.Logger.__init__,1
28574,autogpts.PolyGPT-alpha.forge.sdk.forge_log.QueueLogger.__init__|queue.Queue.__init__,1
28575,autogpts.PolyGPT-alpha.forge.sdk.forge_log.QueueLogger.__init__|logging.Logger.addHandler,1
28576,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.chat|logging.Logger._log,1
28577,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.chat|logging.Logger.isEnabledFor,1
28578,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.chat|dict.get,1
28579,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|logging.handlers.QueueHandler.__init__,1
28580,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|autogpts.PolyGPT-alpha.forge.sdk.forge_log.ConsoleFormatter.__init__,1
28581,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|logging.Logger.__init__,1
28582,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|logging.StreamHandler.__init__,1
28583,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|logging.Logger.addHandler,1
28584,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|queue.Queue.__init__,1
28585,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ConsoleFormatter.format|logging.Formatter.format,1
28586,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ConsoleFormatter.format|typing.Mapping.__contains__,1
28587,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ConsoleFormatter.format|dict.__getitem__,1
28588,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ConsoleFormatter.format|str.__add__,1
28589,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ConsoleFormatter.__init__|logging.Formatter.__init__,1
28590,autogpts.PolyGPT-alpha.forge.sdk.errors.AgentException.__init__|BaseException.__init__,1
28591,autogpts.PolyGPT-alpha.forge.sdk.db_test.test_updating_step|list.__getitem__,1
28592,autogpts.PolyGPT-alpha.forge.sdk.db_test.test_updating_step|str.split,1
28593,autogpts.PolyGPT-alpha.forge.sdk.db_test.test_task_schema|datetime.datetime.now,1
28594,autogpts.PolyGPT-alpha.forge.sdk.db_test.test_task_schema|int.__eq__,1
28595,autogpts.PolyGPT-alpha.forge.sdk.db_test.test_table_creation|sqlite3.dbapi2.Cursor.fetchone,1
