,name,count
0,utils.orchestrator.Orchestrator.star_network|utils.orchestrator.Orchestrator.basic_chat,2
1,utils.orchestrator.Orchestrator.star_network|dict.__getitem__,2
2,utils.orchestrator.Orchestrator.proxy_based_communication|utils.orchestrator.Orchestrator.basic_chat,2
3,utils.orchestrator.Orchestrator.group_based_communication|utils.orchestrator.Orchestrator.basic_chat,2
4,utils.orchestrator.Orchestrator.group_based_communication|dict.__getitem__,2
5,tools.langchain_tools.generate_llm_config|dict.__getitem__,2
6,utils.orchestrator.Orchestrator.two_way_communication|utils.orchestrator.Orchestrator.basic_chat,1
7,utils.orchestrator.Orchestrator.two_way_communication|dict.__getitem__,1
8,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.proxy_based_communication,1
9,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.all_to_all_communication,1
10,utils.orchestrator.Orchestrator.start_conversation|BaseException.__init__,1
11,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.broadcast,1
12,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.request_and_respond,1
13,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.two_way_communication,1
14,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.star_network,1
15,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.group_based_communication,1
16,utils.orchestrator.Orchestrator.start_conversation|object.__eq__,1
17,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.round_robin,1
18,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.hierarchical_communication,1
19,utils.orchestrator.Orchestrator.start_conversation|utils.orchestrator.Orchestrator.get_agent_by_name,1
20,utils.orchestrator.Orchestrator.start_conversation|dict.get,1
21,utils.orchestrator.Orchestrator.round_robin|utils.orchestrator.Orchestrator.basic_chat,1
22,utils.orchestrator.Orchestrator.round_robin|dict.__getitem__,1
23,utils.orchestrator.Orchestrator.request_and_respond|utils.orchestrator.Orchestrator.basic_chat,1
24,utils.orchestrator.Orchestrator.hierarchical_communication|utils.orchestrator.Orchestrator.basic_chat,1
25,utils.orchestrator.Orchestrator.broadcast|utils.orchestrator.Orchestrator.basic_chat,1
26,utils.orchestrator.Orchestrator.basic_chat|utils.orchestrator.Orchestrator.add_message,1
27,utils.orchestrator.Orchestrator.all_to_all_communication|utils.orchestrator.Orchestrator.basic_chat,1
28,utils.orchestrator.Orchestrator.all_to_all_communication|dict.__getitem__,1
29,utils.orchestrator.Orchestrator.__init__|BaseException.__init__,1
30,utils.orchestrator.Orchestrator.__init__|int.__lt__,1
31,utils.custom_chat_manager.ManualManager.run_andy_chat|range.__init__,1
32,utils.custom_chat_manager.ManualManager.run_andy_chat|int.__eq__,1
33,tools.web_scrapper.URLManager.normalize_url|urllib.parse.ParseResult.geturl,1
34,tools.web_scrapper.URLManager.mark_visited|tools.web_scrapper.URLManager.normalize_url,1
35,tools.web_scrapper.URLManager.__init__|set.__init__,1
36,tools.web_scrapper.Scraper.scrape_url|tools.web_scrapper.URLManager.mark_visited,1
37,tools.web_scrapper.Scraper.scrape_url|BaseException.__str__,1
38,tools.web_scrapper.Scraper.scrape_url|tools.web_scrapper.Scraper.parse_and_store_data,1
39,tools.web_scrapper.Scraper.scrape_url|tools.web_scrapper.Logger.log,1
40,tools.web_scrapper.Scraper.scrape_url|tools.web_scrapper.HttpClient.send_request,1
41,tools.web_scrapper.Scraper.scrape_url|tools.web_scrapper.URLManager.is_visited,1
42,tools.web_scrapper.Scraper.parse_and_store_data|bs4.BeautifulSoup.__init__,1
43,tools.web_scrapper.Scraper.parse_and_store_data|io.TextIOWrapper.__enter__,1
