,name,count
0,autogpts.autogpt.agbenchmark_config.analyze_reports.process_test|dict.__getitem__,5
1,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider._get_voice_engine|str.__eq__,4
2,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItem.from_text|str.__ne__,4
3,benchmark.tests.test_is_circular.test_is_circular|dict.__getitem__,3
4,benchmark.agbenchmark.app.create_evaluation|str.__add__,3
5,benchmark.agbenchmark.agent_protocol_client.exceptions.ApiException.__str__|str.format,3
6,benchmark.agbenchmark.agent_protocol_client.api_client.ApiClient.parameters_to_url_query|str.join,3
7,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider._get_voice_engine|object.__init__,3
8,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.fmt_paragraph|str.__eq__,3
9,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItem.from_text|str.__add__,3
10,autogpts.autogpt.autogpt.logs.config.configure_logging|logging.Handler.setFormatter,3
11,autogpts.autogpt.autogpt.logs.config.configure_logging|logging.Handler.setLevel,3
12,autogpts.autogpt.autogpt.file_workspace.file_workspace.FileWorkspace._sanitize_path|object.__str__,3
13,autogpts.autogpt.autogpt.core.utils.json_schema.JSONSchema.to_dict|dict.items,3
14,autogpts.autogpt.autogpt.config.config.ConfigBuilder.build_config_from_env|str.__eq__,3
15,autogpts.autogpt.autogpt.commands.file_operations.is_duplicate_operation|str.__eq__,3
16,autogpts.autogpt.autogpt.commands.file_operations.file_operations_state|str.__eq__,3
17,cli.start|str.join,2
18,cli.start|subprocess.Popen.__init__,2
19,benchmark.tests.test_extract_subgraph.test_extract_subgraph_math_category|object.__eq__,2
20,benchmark.tests.test_extract_subgraph.test_dfs_category_math|object.__eq__,2
21,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|dict.__getitem__,2
22,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items|AttributeError.__init__,2
23,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_failed|dict.__getitem__,2
24,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|dict.__setitem__,2
25,benchmark.agbenchmark.utils.dependencies.graphs.graph_interactive_network|dict.get,2
26,benchmark.agbenchmark.generate_test.generate_tests|list.__contains__,2
27,benchmark.agbenchmark.challenges.verticals.code.6_battleship.artifacts_out.battleship.Battleship.get_game_status|int.__eq__,2
28,benchmark.agbenchmark.agent_protocol_client.exceptions.render_path|str.format,2
29,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.host|benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.get_host_from_settings,2
30,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.get_host_from_settings|str.__add__,2
31,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.get_host_from_settings|str.format,2
32,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.__deepcopy__|benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.logger_file,2
33,benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.__deepcopy__|benchmark.agbenchmark.agent_protocol_client.configuration.Configuration.debug,2
34,benchmark.agbenchmark.agent_protocol_client.api_client.ApiClient.parameters_to_url_query|object.__str__,2
35,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.upload_agent_task_artifacts_with_http_info|dict.__setitem__,2
36,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.list_agent_tasks_ids_with_http_info|dict.__setitem__,2
37,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.list_agent_task_steps_with_http_info|dict.__setitem__,2
38,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.list_agent_task_artifacts_with_http_info|dict.__setitem__,2
39,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.get_agent_task_with_http_info|dict.__setitem__,2
40,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.get_agent_task_step_with_http_info|dict.__setitem__,2
41,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.execute_agent_task_step_with_http_info|dict.__setitem__,2
42,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.download_agent_task_artifact_with_http_info|dict.__setitem__,2
43,benchmark.agbenchmark.agent_protocol_client.api.agent_api.AgentApi.create_agent_task_with_http_info|dict.__setitem__,2
44,autogpts.forge.forge.sdk.forge_log.ForgeLogger.__init__|logging.Formatter.__init__,2
45,autogpts.forge.forge.sdk.forge_log.ForgeLogger.__init__|logging.Handler.setFormatter,2
46,autogpts.forge.forge.sdk.agent_test.test_get_step|object.__init__,2
47,autogpts.forge.forge.sdk.agent_test.test_create_and_execute_step|object.__init__,2
48,autogpts.forge.forge.sdk.abilities.web.web_selenium.open_page_in_browser|str.__eq__,2
49,autogpts.autogpt.tests.unit.test_utils.test_extract_json_from_response_wrapped_in_code_block|str.__add__,2
50,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_update_cost_completion_model|float.__rmul__,2
51,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_getter_methods|float.__rmul__,2
52,autogpts.autogpt.data_ingestion.main|argparse._ActionsContainer.add_argument,2
53,autogpts.autogpt.autogpt.processing.text.summarize_text|list.__getitem__,2
54,autogpts.autogpt.autogpt.processing.text.split_text|int.__add__,2
55,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.register_result|BaseException.__init__,2
56,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.fmt_paragraph|str.__add__,2
57,autogpts.autogpt.autogpt.memory.vector.utils.get_embedding|list.__getitem__,2
58,autogpts.autogpt.autogpt.memory.vector.memory_item.MemoryItemRelevance.most_relevant_chunk|list.__getitem__,2
59,autogpts.autogpt.autogpt.memory.vector.get_memory|BaseException.__init__,2
60,autogpts.autogpt.autogpt.logs.config.configure_logging|logging.StreamHandler.__init__,2
61,autogpts.autogpt.autogpt.llm.providers.openai.format_function_specs_as_typescript_ns|str.__add__,2
62,autogpts.autogpt.autogpt.core.workspace.simple.SimpleWorkspace._sanitize_path|object.__str__,2
63,autogpts.autogpt.autogpt.core.utils.json_schema.JSONSchema.parse_properties|dict.items,2
64,autogpts.autogpt.autogpt.core.resource.model_providers.openai.format_function_specs_as_typescript_ns|str.__add__,2
65,autogpts.autogpt.autogpt.core.configuration.schema._get_user_config_fields|dict.items,2
66,autogpts.autogpt.autogpt.config.config.Config.get_azure_credentials|dict.get,2
67,autogpts.autogpt.autogpt.commands.web_selenium.read_webpage|str.__add__,2
68,autogpts.autogpt.autogpt.commands.file_operations_utils.read_textual_file|BaseException.__init__,2
69,autogpts.autogpt.autogpt.app.utils.markdown_to_ansi_style|str.__add__,2
70,autogpts.autogpt.autogpt.agents.prompt_strategies.one_shot.OneShotAgentPromptStrategy.compile_progress|str.__add__,2
71,autogpts.autogpt.autogpt.agents.planning_agent.PlanningAgent.construct_base_prompt|enumerate.__next__,2
72,autogpts.autogpt.autogpt.agents.features.context.ContextMixin.build_prompt|str.__add__,2
73,autogpts.autogpt.autogpt.agents.agent.execute_command|autogpts.autogpt.autogpt.agents.utils.exceptions.AgentException.__init__,2
74,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|logging.Formatter.__init__,2
75,autogpts.PolyGPT-alpha.forge.sdk.forge_log.ForgeLogger.__init__|logging.Handler.setFormatter,2
76,autogpts.PolyGPT-alpha.forge.sdk.agent_test.test_get_step|object.__init__,2
77,autogpts.PolyGPT-alpha.forge.sdk.agent_test.test_create_and_execute_step|object.__init__,2
78,autogpts.PolyGPT-alpha.forge.sdk.abilities.web.web_selenium.open_page_in_browser|str.__eq__,2
79,cli.update|io.TextIOWrapper.__enter__,1
80,cli.update|datetime.datetime.isoformat,1
81,cli.update|datetime.datetime.utcnow,1
82,cli.update|str.strip,1
83,cli.update|bytes.decode,1
84,cli.update|str.__ne__,1
85,cli.stop|int.__new__,1
86,cli.stop|bytes.split,1
87,cli.setup|subprocess.CalledProcessError.__init__,1
88,cli.setup|io.TextIOBase.write,1
89,cli.setup|bytes.decode,1
90,cli.setup|typing.Mapping.get,1
91,cli.setup|io.TextIOWrapper.__enter__,1
92,cli.setup|int.__eq__,1
93,cli.setup|str.strip,1
94,cli.setup|io.TextIOBase.read,1
95,cli.enter|str.split,1
96,cli.enter|str.__getitem__,1
97,cli.enter|tuple.__contains__,1
98,cli.enter|datetime.datetime.utcnow,1
99,cli.enter|bytes.decode,1
100,cli.enter|str.replace,1
101,cli.enter|dict.__setitem__,1
102,cli.enter|io.TextIOWrapper.__enter__,1
103,cli.enter|datetime.datetime.isoformat,1
104,cli.enter|str.startswith,1
105,cli.enter|str.strip,1
106,cli.enter|io.TextIOBase.read,1
107,cli.benchmark_tests_list|dict.__getitem__,1
108,cli.benchmark_tests_list|dict.__setitem__,1
109,cli.benchmark_tests_list|str.join,1
110,cli.benchmark_tests_list|str.__contains__,1
111,cli.benchmark_tests_list|io.TextIOWrapper.__enter__,1
112,cli.benchmark_tests_list|typing.Mapping.__contains__,1
113,cli.benchmark_tests_list|dict.items,1
114,cli.benchmark_tests_list|str.replace,1
115,cli.benchmark_tests_details|str.__mul__,1
116,cli.benchmark_tests_details|io.TextIOWrapper.__enter__,1
117,cli.benchmark_tests_details|str.join,1
118,cli.benchmark_categories_list|set.__init__,1
119,cli.benchmark_categories_list|set.update,1
120,cli.benchmark_categories_list|io.TextIOWrapper.__enter__,1
121,cli.benchmark_categories_list|str.__contains__,1
122,benchmark.tests.test_is_circular.test_is_circular|int.__sub__,1
123,benchmark.tests.test_is_circular.test_is_circular|list.__contains__,1
124,benchmark.tests.test_is_circular.test_is_circular|range.__init__,1
125,benchmark.tests.test_is_circular.test_is_circular|int.__add__,1
126,benchmark.tests.test_get_roots.test_get_roots|set.__init__,1
127,benchmark.tests.test_get_roots.test_get_roots|object.__eq__,1
128,benchmark.tests.test_extract_subgraph.test_extract_subgraph_non_existent_category|int.__eq__,1
129,benchmark.tests.test_extract_subgraph.test_extract_subgraph_math_category|set.__init__,1
130,benchmark.tests.test_extract_subgraph.test_extract_subgraph_math_category|tuple.__new__,1
131,benchmark.tests.test_extract_subgraph.test_extract_subgraph_math_category|dict.__getitem__,1
132,benchmark.tests.test_extract_subgraph.test_dfs_category_math|dict.__getitem__,1
133,benchmark.tests.test_extract_subgraph.test_dfs_category_math|set.__init__,1
134,benchmark.tests.test_benchmark_workflow.test_entire_workflow|datetime.datetime.now,1
135,benchmark.tests.test_benchmark_workflow.test_entire_workflow|int.__eq__,1
136,benchmark.tests.test_benchmark_workflow.test_entire_workflow|str.__add__,1
137,benchmark.tests.test_benchmark_workflow.test_entire_workflow|requests.models.Response.json,1
138,benchmark.tests.test_benchmark_workflow.test_entire_workflow|datetime.datetime.__lt__,1
139,benchmark.tests.test_benchmark_workflow.test_entire_workflow|datetime.date.fromisoformat,1
140,benchmark.server.upload_file|list.append,1
141,benchmark.server.upload_file|list.__contains__,1
142,benchmark.server.upload_file|pathlib.PurePath.parent,1
143,benchmark.server.upload_file|pathlib.Path.absolute,1
144,benchmark.server.upload_file|pathlib.PurePath.__truediv__,1
145,benchmark.server.upload_file|pathlib.Path.__new__,1
146,benchmark.server.get_file|io.BytesIO.__init__,1
147,benchmark.server.get_file|dict.__getitem__,1
148,benchmark.server.create_tasks|typing.MutableSequence.clear,1
149,benchmark.reports.send_to_googledrive.process_test|list.append,1
150,benchmark.reports.send_to_googledrive.process_test|str.split,1
151,benchmark.reports.send_to_googledrive.process_test|int.__gt__,1
152,benchmark.reports.send_to_googledrive.process_test|str.join,1
153,benchmark.reports.send_to_googledrive.process_test|list.__getitem__,1
154,benchmark.reports.send_to_googledrive.process_test|dict.get,1
155,benchmark.reports.match_records.get_reports|list.__init__,1
156,benchmark.reports.match_records.get_reports|str.lower,1
157,benchmark.reports.match_records.get_reports|list.append,1
158,benchmark.reports.match_records.get_reports|str.endswith,1
159,benchmark.reports.match_records.get_reports|dict.items,1
160,benchmark.reports.match_records.get_reports|io.TextIOWrapper.__enter__,1
161,benchmark.reports.match_records.get_reports|str.join,1
162,benchmark.reports.match_records.get_reports|dict.keys,1
163,benchmark.reports.match_records.get_reports|dict.__setitem__,1
164,benchmark.reports.match_records.get_reports|dict.__getitem__,1
165,benchmark.reports.match_records.get_reports|list.__getitem__,1
166,benchmark.reports.match_records.get_helicone_data|list.append,1
167,benchmark.reports.match_records.get_helicone_data|int.__mul__,1
168,benchmark.reports.match_records.get_helicone_data|int.__eq__,1
169,benchmark.reports.match_records.get_helicone_data|int.__add__,1
170,benchmark.reports.match_records.get_helicone_data|dict.get,1
171,benchmark.agbenchmark.utils.utils.write_pretty_json|io.TextIOWrapper.__enter__,1
172,benchmark.agbenchmark.utils.utils.write_pretty_json|io.TextIOBase.write,1
173,benchmark.agbenchmark.utils.utils.replace_backslash|dict.items,1
174,benchmark.agbenchmark.utils.utils.get_test_path|object.__repr__,1
175,benchmark.agbenchmark.utils.utils.get_test_path|BaseException.__init__,1
176,benchmark.agbenchmark.utils.utils.get_test_path|pathlib.PurePath.parts,1
177,benchmark.agbenchmark.utils.utils.get_test_path|slice.__init__,1
178,benchmark.agbenchmark.utils.utils.get_test_path|tuple.index,1
179,benchmark.agbenchmark.utils.utils.get_test_path|pathlib.Path.__new__,1
180,benchmark.agbenchmark.utils.utils.get_test_path|tuple.__getitem__,1
181,benchmark.agbenchmark.utils.utils.get_highest_success_difficulty|dict.items,1
182,benchmark.agbenchmark.utils.utils.deep_sort|dict.items,1
183,benchmark.agbenchmark.utils.utils.calculate_success_percentage|float.__mul__,1
184,benchmark.agbenchmark.utils.utils.calculate_success_percentage|int.__gt__,1
185,benchmark.agbenchmark.utils.utils.calculate_success_percentage|int.__truediv__,1
186,benchmark.agbenchmark.utils.utils.calculate_success_percentage|slice.__init__,1
187,benchmark.agbenchmark.utils.utils.calculate_success_percentage|int.__eq__,1
188,benchmark.agbenchmark.utils.utils.calculate_success_percentage|list.count,1
189,benchmark.agbenchmark.utils.utils.calculate_success_percentage|list.__getitem__,1
190,benchmark.agbenchmark.utils.utils.agent_eligibible_for_optional_categories|list.__contains__,1
191,benchmark.agbenchmark.utils.get_data_from_helicone.get_data_from_helicone|requests.models.Response.json,1
192,benchmark.agbenchmark.utils.get_data_from_helicone.get_data_from_helicone|typing.Mapping.get,1
193,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|str.split,1
194,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|list.__getitem__,1
195,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|str.rsplit,1
196,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|str.__contains__,1
197,benchmark.agbenchmark.utils.dependencies.util.get_absolute_nodeid|int.__eq__,1
198,benchmark.agbenchmark.utils.dependencies.util.clean_nodeid|str.replace,1
199,benchmark.agbenchmark.utils.dependencies.pytest_unconfigure|list.pop,1
200,benchmark.agbenchmark.utils.dependencies.pytest_runtest_makereport|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.register_result,1
201,benchmark.agbenchmark.utils.dependencies.pytest_runtest_makereport|list.__getitem__,1
202,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_failed,1
203,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_missing,1
204,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|str.join,1
205,benchmark.agbenchmark.utils.dependencies.pytest_runtest_call|list.__getitem__,1
206,benchmark.agbenchmark.utils.dependencies.pytest_configure|list.append,1
207,benchmark.agbenchmark.utils.dependencies.pytest_configure|dict.__setitem__,1
208,benchmark.agbenchmark.utils.dependencies.pytest_configure|dict.keys,1
209,benchmark.agbenchmark.utils.dependencies.pytest_configure|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.__init__,1
210,benchmark.agbenchmark.utils.dependencies.pytest_configure|list.__init__,1
211,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items,1
212,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,1
213,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_processed_dependencies,1
214,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_name_map,1
215,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|slice.__init__,1
216,benchmark.agbenchmark.utils.dependencies.pytest_collection_modifyitems|list.__getitem__,1
217,benchmark.agbenchmark.utils.dependencies.pytest_addoption|dict.keys,1
218,benchmark.agbenchmark.utils.dependencies.pytest_addoption|list.__iadd__,1
219,benchmark.agbenchmark.utils.dependencies.pytest_addoption|list.__contains__,1
220,benchmark.agbenchmark.utils.dependencies.main.TestResult.success|list.__contains__,1
221,benchmark.agbenchmark.utils.dependencies.main.TestResult.success|dict.get,1
222,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|dict.__setitem__,1
223,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|BaseException.__init__,1
224,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|list.__contains__,1
225,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|AttributeError.__init__,1
226,benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result|typing.Mapping.__contains__,1
227,benchmark.agbenchmark.utils.dependencies.main.TestDependencies.__init__|set.__init__,1
228,benchmark.agbenchmark.utils.dependencies.main.TestDependencies.__init__|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.name_to_nodeids,1
229,benchmark.agbenchmark.utils.dependencies.main.TestDependencies.__init__|typing.Mapping.__contains__,1
230,benchmark.agbenchmark.utils.dependencies.main.TestDependencies.__init__|dict.__getitem__,1
231,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|dict.__setitem__,1
232,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,1
233,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|io.TextIOWrapper.__enter__,1
234,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|str.lower,1
235,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|str.__eq__,1
236,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.sorted_items|dict.__getitem__,1
237,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.results|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,1
238,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.register_result|dict.__getitem__,1
239,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.register_result|benchmark.agbenchmark.utils.dependencies.main.TestResult.register_result,1
240,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_processed_dependencies|list.append,1
241,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_processed_dependencies|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.dependencies,1
242,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_processed_dependencies|dict.items,1
243,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_name_map|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.name_to_nodeids,1
244,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_name_map|dict.items,1
245,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.print_name_map|int.__eq__,1
246,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.nodeid_to_item|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,1
247,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.name_to_nodeids|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,1
248,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_missing|dict.__getitem__,1
249,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_failed|benchmark.agbenchmark.utils.dependencies.main.TestResult.success,1
250,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.get_failed|list.append,1
251,benchmark.agbenchmark.utils.dependencies.main.DependencyManager.dependencies|benchmark.agbenchmark.utils.dependencies.main.DependencyManager.items,1
252,benchmark.agbenchmark.utils.dependencies.graphs.validate_skill_tree|int.__gt__,1
253,benchmark.agbenchmark.utils.dependencies.graphs.validate_skill_tree|str.join,1
254,benchmark.agbenchmark.utils.dependencies.graphs.validate_skill_tree|BaseException.__init__,1
255,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|dict.__getitem__,1
256,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|dict.values,1
257,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|int.__mod__,1
258,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|range.__init__,1
259,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|float.__truediv__,1
260,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|dict.items,1
261,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|int.__add__,1
262,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|float.__sub__,1
263,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|float.__add__,1
264,benchmark.agbenchmark.utils.dependencies.graphs.tree_layout|float.__rmul__,1
265,benchmark.agbenchmark.utils.dependencies.graphs.rgb_to_hex|int.__new__,1
266,benchmark.agbenchmark.utils.dependencies.graphs.rgb_to_hex|float.__mul__,1
267,benchmark.agbenchmark.utils.dependencies.graphs.rgb_to_hex|tuple.__getitem__,1
268,benchmark.agbenchmark.utils.dependencies.graphs.rgb_to_hex|str.format,1
269,benchmark.agbenchmark.utils.dependencies.graphs.is_circular.dfs|list.append,1
270,benchmark.agbenchmark.utils.dependencies.graphs.is_circular.dfs|slice.__init__,1
271,benchmark.agbenchmark.utils.dependencies.graphs.is_circular.dfs|list.__getitem__,1
