
mdupont@mdupont-G470:~/experiments/ai-ticket$ sudo docker-compose up
Creating ai-ticket_jarvis_1 ... 
Creating ai-ticket_auto-gpt-aj_1 ... 
Creating ai-ticket_the_agency_4_1 ... 
Starting ai-ticket_act_base_1     ... 
Creating ai-ticket_scott-gpt_1    ... 
Creating ai-ticket_swarms_of_sparta_1 ... 
Creating ai-ticket_auto-gpt-chat-gpt-prompts_1 ... 
Creating ai-ticket_mason_boom_1                ... 
Creating ai-ticket_the_agency_2_1              ... 
Creating ai-ticket_mason_boom_testgpt_1        ... 
Creating ai-ticket_the_agency_3_1              ... 
Creating ai-ticket_mljar_1                     ... 
Creating ai-ticket_the_agency_1_1              ... 
Creating ai-ticket_mason_boom_pa_1             ... 
Creating ai-ticket_babyagi_1                   ... 
Creating ai-ticket_autogpt-turbo_1             ... 
Starting ai-ticket_poetry_base_1               ... 
Starting ai-ticket_ai_ticket_1                 ... 
ai-ticket_mockopenai_1 is up-to-date
Creating ai-ticket_basic_agent_1               ... 
Creating ai-ticket_arena_1                     ... 
Creating ai-ticket_autogpt_1                   ... 
Attaching to ai-ticket_act_base_1, ai-ticket_mason_boom_pa_1, ai-ticket_mason_boom_1, ai-ticket_poetry_base_1, ai-ticket_auto-gpt-chat-gpt-prompts_1, ai-ticket_mason_boom_testgpt_1, ai-ticket_the_agency_4_1, ai-ticket_babyagi_1, ai-ticket_the_agency_3_1, ai-ticket_scott-gpt_1, ai-ticket_autogpt-turbo_1, ai-ticket_the_agency_2_1, ai-ticket_auto-gpt-aj_1, ai-ticket_mljar_1, ai-ticket_swarms_of_sparta_1, ai-ticket_jarvis_1, ai-ticket_the_agency_1_1, ai-ticket_ai_ticket_1, ai-ticket_mockopenai_1, ai-ticket_basic_agent_1, ai-ticket_arena_1, ai-ticket_autogpt_1
ai-ticket_act_base_1 exited with code 0
auto-gpt-aj_1                | Warning: 文件 'auto-gpt.json' 不存在. 本地内存不会保存到文件中。.
autogpt-turbo_1              | Processing /opt/ai-ticket
autogpt-turbo_1              |   Installing build dependencies ... done
autogpt-turbo_1              |   Getting requirements to build wheel ... done
autogpt-turbo_1              |   Preparing metadata (pyproject.toml) ... done
autogpt-turbo_1              | Requirement already satisfied: click==8.1.7 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from ai-ticket==0.0.1) (8.1.7)
autogpt-turbo_1              | Requirement already satisfied: docker==6.1.3 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from ai-ticket==0.0.1) (6.1.3)
autogpt-turbo_1              | Requirement already satisfied: packaging>=14.0 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from docker==6.1.3->ai-ticket==0.0.1) (23.2)
autogpt-turbo_1              | Requirement already satisfied: requests>=2.26.0 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from docker==6.1.3->ai-ticket==0.0.1) (2.31.0)
autogpt-turbo_1              | Requirement already satisfied: urllib3>=1.26.0 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from docker==6.1.3->ai-ticket==0.0.1) (2.0.6)
autogpt-turbo_1              | Requirement already satisfied: websocket-client>=0.32.0 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from docker==6.1.3->ai-ticket==0.0.1) (1.6.4)
autogpt-turbo_1              | Requirement already satisfied: charset-normalizer<4,>=2 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from requests>=2.26.0->docker==6.1.3->ai-ticket==0.0.1) (3.3.0)
